SYMBOL,SYMBOL WITH NS,'SYMBOL WITH NS,TICKERS,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
STERTOOLS,STERTOOLS.NS,'STERTOOLS.NS,'STLTECH.NS',Sterling Tools Limited,EQ,02-Feb-2006,2,1,INE334A01023,2
STLTECH,STLTECH.NS,'STLTECH.NS,'STOVEKRAFT.NS',Sterlite Technologies Limited,EQ,08-Dec-2000,2,1,INE089C01029,2
STOVEKRAFT,STOVEKRAFT.NS,'STOVEKRAFT.NS,'SUBCAPCITY.NS',Stove Kraft Limited,EQ,05-Feb-2021,10,1,INE00IN01015,10
SUBCAPCITY,SUBCAPCITY.NS,'SUBCAPCITY.NS,'SUBEXLTD.NS',International Constructions Limited,BE,10-Jul-1996,10,1,INE845C01016,10
SUBEXLTD,SUBEXLTD.NS,'SUBEXLTD.NS,'SUBROS.NS',Subex Limited,EQ,05-Nov-2020,5,1,INE754A01055,5
SUBROS,SUBROS.NS,'SUBROS.NS,'SUDARSCHEM.NS',Subros Limited,EQ,13-Jul-2005,2,1,INE287B01021,2
SUDARSCHEM,SUDARSCHEM.NS,'SUDARSCHEM.NS,'SUMEETINDS.NS',Sudarshan Chemical Industries Limited,EQ,25-May-1995,2,1,INE659A01023,2
SUMEETINDS,SUMEETINDS.NS,'SUMEETINDS.NS,'SUMICHEM.NS',Sumeet Industries Limited,BE,10-Dec-2010,10,1,INE235C01010,10
SUMICHEM,SUMICHEM.NS,'SUMICHEM.NS,'SUMIT.NS',Sumitomo Chemical India Limited,EQ,27-Jan-2020,10,1,INE258G01013,10
SUMIT,SUMIT.NS,'SUMIT.NS,'SUMMITSEC.NS',Sumit Woods Limited,EQ,30-Jul-2019,10,1,INE748Z01013,10
SUMMITSEC,SUMMITSEC.NS,'SUMMITSEC.NS,'SUNCLAYLTD.NS',Summit Securities Limited,EQ,28-Jan-2011,10,1,INE519C01017,10
SUNCLAYLTD,SUNCLAYLTD.NS,'SUNCLAYLTD.NS,'SUNDARAM.NS',Sundaram Clayton Limited,EQ,23-Oct-2012,5,1,INE105A01035,5
SUNDARAM,SUNDARAM.NS,'SUNDARAM.NS,'SUNDARMFIN.NS',Sundaram Multi Pap Limited,EQ,02-Jun-2010,1,1,INE108E01023,1
SUNDARMFIN,SUNDARMFIN.NS,'SUNDARMFIN.NS,'SUNDARMHLD.NS',Sundaram Finance Limited,EQ,07-Jan-1998,10,1,INE660A01013,10
SUNDARMHLD,SUNDARMHLD.NS,'SUNDARMHLD.NS,'SUNDRMBRAK.NS',Sundaram Finance Holdings Limited,EQ,26-Mar-2018,5,1,INE202Z01029,5
