Security Code,Issuer Name,Security Id,SYMBOL WITH BO,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
531550,,JHACC,JHACC.BO,JHAVERI CREDITS & CAPITAL LTD.,Active,X,10,INE865D01012,Other Financial Services,Equity
531552,,RAGHUTOB,RAGHUTOB.BO,RAGHUNATH TOBACCO CO.LTD.,Active,X,10,INE754B01012,Realty,Equity
531553,,DRL,DRL.BO,Disha Resources Ltd,Active,XT,10,INE193D01019,Diversified Commercial Services,Equity
531556,,CORALFINAC,CORALFINAC.BO,CORAL INDIA FINANCE & HOUSING LTD.,Active,B,2,INE558D01021,Investment Companies,Equity
531560,,AROMAENT,AROMAENT.BO,AROMA ENTERPRISES (INDIA) LTD.,Active,Z,10,INE371M01012,Diversified Commercial Services,Equity
531568,,ASHUTPM,ASHUTPM.BO,ASHUTOSH PAPER MILLS LTD.,Active,XT,10,INE723K01018,Paper & Paper Products,Equity
531574,,VASINFRA,VASINFRA.BO,VAS INFRASTRUCTURE LTD.,Active,X,10,INE192C01013,Realty,Equity
531578,,KMFBLDR,KMFBLDR.BO,KMF BUILDERS & DEVELOPERS LTD.,Active,X,5,INE580H01026,Realty,Equity
531582,,BERYLSE,BERYLSE.BO,BERYL SECURITIES LTD.,Active,XT,10,INE508J01015,Finance (including NBFCs),Equity
531583,,RAP,RAP.BO,RAP MEDIA LTD.,Active,X,10,INE483D01014,Finance (including NBFCs),Equity
531585,,DEVINE,DEVINE.BO,DEVINE IMPEX LTD.,Active,XT,10,INE455C01014,Comm.Trading  & Distribution,Equity
531591,,BAMPSL,BAMPSL.BO,BAMPSL SECURITIES LTD.,Active,XT,10,INE802A01037,Finance (including NBFCs),Equity
531592,,GENPHARMA,GENPHARMA.BO,Generic Pharmasec Ltd,Active,X,1,INE861N01036,Specialty Chemicals,Equity
531594,,INCON,INCON.BO,INCON ENGINEERS LTD.,Active,XT,10,INE507D01010,Industrial Machinery,Equity
531595,,CGCL,CGCL.BO,Capri Global Capital Limited,Active,A,2,INE180C01026,Finance (including NBFCs),Equity
531599,,FDC,FDC.BO,FDC LTD.,Active,A,1,INE258B01022,Pharmaceuticals,Equity
531600,,GOGIACAP,GOGIACAP.BO,Gogia Capital Services Limited,Active,XT,10,INE832C01014,Other Financial Services,Equity
531608,,GORANIN,GORANIN.BO,GORANI INDUSTRIES LTD.,Active,XT,10,INE792J01015,Houseware,Equity
531609,,KGPETRO,KGPETRO.BO,KG PETROCHEM LTD.,Active,XT,10,INE902G01016,Textiles,Equity
531613,,MAL,MAL.BO,Meyer Apparel Ltd,Active,XT,3,INE100C01024,Other Apparels & Accessories,Equity
531616,,STARCOM,STARCOM.BO,Starcom Information Technology Ltd,Active,XT,10,INE347I01010,IT Consulting & Software,Equity
531621,,CENTERAC,CENTERAC.BO,CENTERAC TECHNOLOGIES LTD.,Active,XT,1,INE157B01026,Internet Software & Services,Equity
531624,,COUNCODOS,COUNCODOS.BO,COUNTRY CONDO&#39;S LTD.,Active,B,1,INE695B01025,Realty,Equity
531626,,OROSMITHS,OROSMITHS.BO,OROSIL SMITHS INDIA LTD.-$,Active,X,1,INE628B01034,Other Apparels & Accessories,Equity
531628,,TEJASSVI,TEJASSVI.BO,Tejassvi Aaharam Ltd,Active,P,10,INE173E01019,Textiles,Equity
531633,,LINCOPH,LINCOPH.BO,LINCOLN PHARMACEUTICALS LTD.,Active,A,10,INE405C01035,Pharmaceuticals,Equity
531635,,SILVOAK,SILVOAK.BO,SILVER OAK (INDIA) LTD.,Active,XT,10,INE870J01019,Breweries & Distilleries,Equity
531637,,PRAVEG,PRAVEG.BO,Praveg Communications (India) Ltd,Active,X,10,INE722B01019,Advertising & Media,Equity
531638,,SURAJLTD,SURAJLTD.BO,SURAJ LTD.-$,Active,X,10,INE713C01016,Iron & Steel Products,Equity
531640,,SICL,SICL.BO,Suvidha Infraestate Corporation Limited,Active,P,10,INE936N01010,Realty,Equity
531642,,MARICO,MARICO.BO,MARICO LTD.,Active,A,1,INE196A01026,Personal Products,Equity
531644,,TOKYOFIN,TOKYOFIN.BO,TOKYO FINANCE LTD.,Active,X,10,INE546D01018,Finance (including NBFCs),Equity
531648,,MAHAVIRIND,MAHAVIRIND.BO,Mahavir Industries Limited,Active,XT,5,INE987M01023,Copper,Equity
